lat,lon,date,weather,temperature,humidity,apparent_temp,precip_prob,summary,precip_mm,precip_tipo
36.8340,-2.4637,2026-03-22T00:00:00.000000,overcast,13.9,69,13.4,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-22T01:00:00.000000,overcast,13.8,69,13.1,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-22T02:00:00.000000,overcast,13.7,71,12.8,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-22T03:00:00.000000,overcast,13.4,72,12.5,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-22T04:00:00.000000,overcast,13.3,73,12.5,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-22T05:00:00.000000,overcast,13.0,75,12.2,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-22T06:00:00.000000,overcast,12.8,75,11.9,3,Overcast,0.0,none
36.8340,-2.4637,2026-03-22T07:00:00.000000,overcast,12.7,74,11.9,3,Overcast,0.0,none
36.8340,-2.4637,2026-03-22T08:00:00.000000,overcast,12.8,76,12.1,8,Overcast,0.0,none
36.8340,-2.4637,2026-03-22T09:00:00.000000,overcast,13.5,69,12.9,15,Overcast,0.0,none
36.8340,-2.4637,2026-03-22T10:00:00.000000,overcast,14.9,60,13.5,3,Overcast,0.0,none
36.8340,-2.4637,2026-03-22T11:00:00.000000,overcast,15.2,60,13.4,3,Overcast,0.0,none
36.8340,-2.4637,2026-03-22T12:00:00.000000,overcast,15.7,62,13.9,3,Overcast,0.0,none
36.8340,-2.4637,2026-03-22T13:00:00.000000,overcast,16.1,63,14.1,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-22T14:00:00.000000,overcast,15.8,64,13.8,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-22T15:00:00.000000,overcast,15.8,64,14.7,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-22T16:00:00.000000,overcast,16.8,60,15.6,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-22T17:00:00.000000,overcast,16.1,66,14.4,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-22T18:00:00.000000,partly_sunny,15.6,66,13.7,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-22T19:00:00.000000,partly_sunny,14.9,67,13.4,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-22T20:00:00.000000,partly_sunny,14.2,72,13.4,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-22T21:00:00.000000,partly_sunny,13.7,77,13.4,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-22T22:00:00.000000,partly_sunny,13.2,78,12.4,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-22T23:00:00.000000,partly_sunny,12.9,80,12.1,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-23T00:00:00.000000,partly_sunny,12.4,84,11.5,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-23T01:00:00.000000,partly_sunny,12.1,83,11.0,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-23T02:00:00.000000,partly_sunny,12.0,83,10.7,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-23T03:00:00.000000,sunny,11.7,83,10.4,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-23T04:00:00.000000,sunny,11.4,83,10.1,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-23T05:00:00.000000,sunny,11.1,83,9.8,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-23T06:00:00.000000,sunny,10.8,83,9.5,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-23T07:00:00.000000,partly_sunny,10.6,83,9.2,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-23T08:00:00.000000,partly_sunny,11.0,81,9.3,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-23T09:00:00.000000,partly_sunny,13.6,71,12.2,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-23T10:00:00.000000,partly_sunny,15.7,62,14.8,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-23T11:00:00.000000,partly_sunny,16.9,61,15.9,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-23T12:00:00.000000,overcast,17.5,61,17.0,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-23T13:00:00.000000,overcast,17.7,61,17.1,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-23T14:00:00.000000,overcast,17.7,62,16.8,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-23T15:00:00.000000,overcast,18.5,63,17.3,10,Overcast,0.0,none
36.8340,-2.4637,2026-03-23T16:00:00.000000,overcast,18.2,67,16.7,28,Overcast,0.0,none
36.8340,-2.4637,2026-03-23T17:00:00.000000,overcast,18.7,57,16.8,38,Overcast,0.0,none
36.8340,-2.4637,2026-03-23T18:00:00.000000,overcast,18.4,55,16.2,28,Overcast,0.0,none
36.8340,-2.4637,2026-03-23T19:00:00.000000,overcast,17.8,53,15.6,13,Overcast,0.0,none
36.8340,-2.4637,2026-03-23T20:00:00.000000,overcast,17.0,53,15.4,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-23T21:00:00.000000,overcast,16.6,52,15.2,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-23T22:00:00.000000,overcast,15.9,56,14.3,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-23T23:00:00.000000,partly_sunny,15.4,58,13.8,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-24T00:00:00.000000,overcast,15.0,60,13.3,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-24T01:00:00.000000,partly_sunny,14.5,66,13.1,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-24T02:00:00.000000,partly_sunny,14.1,68,12.7,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-24T03:00:00.000000,partly_sunny,13.9,68,12.3,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-24T04:00:00.000000,partly_sunny,13.7,67,11.9,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-24T05:00:00.000000,partly_sunny,13.6,62,11.1,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-24T06:00:00.000000,sunny,13.5,55,10.3,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-24T07:00:00.000000,sunny,13.4,53,10.2,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-24T08:00:00.000000,sunny,13.4,53,10.3,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-24T09:00:00.000000,sunny,14.7,47,11.7,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-24T10:00:00.000000,sunny,16.4,45,13.4,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-24T11:00:00.000000,partly_sunny,17.7,45,14.8,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-24T12:00:00.000000,partly_sunny,18.5,45,15.6,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-24T13:00:00.000000,partly_sunny,19.2,42,16.4,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-24T14:00:00.000000,partly_sunny,19.4,42,16.4,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-24T15:00:00.000000,partly_sunny,19.2,45,16.0,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-24T16:00:00.000000,partly_sunny,18.9,46,15.5,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-24T17:00:00.000000,partly_sunny,18.3,49,14.4,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-24T18:00:00.000000,sunny,17.8,50,14.6,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-24T19:00:00.000000,sunny,16.9,51,14.3,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-24T20:00:00.000000,sunny,16.0,52,14.2,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-24T21:00:00.000000,sunny,14.9,57,13.1,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-24T22:00:00.000000,sunny,13.8,66,12.1,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-24T23:00:00.000000,sunny,13.3,70,11.7,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T00:00:00.000000,sunny,12.8,72,11.1,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T01:00:00.000000,sunny,12.6,71,10.7,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T02:00:00.000000,sunny,12.3,69,10.1,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T03:00:00.000000,sunny,12.1,64,9.4,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T04:00:00.000000,sunny,12.0,57,8.8,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T05:00:00.000000,sunny,11.8,53,8.4,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T06:00:00.000000,sunny,11.8,47,8.0,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T07:00:00.000000,sunny,11.6,42,7.6,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T08:00:00.000000,sunny,11.9,38,7.8,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T09:00:00.000000,sunny,13.8,32,9.9,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T10:00:00.000000,sunny,15.8,30,12.7,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T11:00:00.000000,sunny,18.2,27,15.9,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T12:00:00.000000,sunny,18.9,34,17.4,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T13:00:00.000000,sunny,19.9,36,18.8,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T14:00:00.000000,sunny,19.9,40,19.0,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T15:00:00.000000,sunny,19.3,44,18.3,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T16:00:00.000000,sunny,18.7,48,17.2,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T17:00:00.000000,sunny,18.1,50,16.1,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T18:00:00.000000,sunny,17.5,51,15.7,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T19:00:00.000000,sunny,16.9,53,15.5,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T20:00:00.000000,sunny,16.0,56,14.9,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T21:00:00.000000,sunny,15.1,60,13.7,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T22:00:00.000000,sunny,14.5,61,12.6,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-25T23:00:00.000000,sunny,14.4,58,12.2,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-26T00:00:00.000000,sunny,14.7,52,12.1,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-26T01:00:00.000000,sunny,14.9,48,11.9,0,Sunny,0.0,none
36.8340,-2.4637,2026-03-26T02:00:00.000000,overcast,14.7,48,11.6,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T03:00:00.000000,overcast,14.4,50,11.3,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T04:00:00.000000,overcast,14.3,51,11.2,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T05:00:00.000000,overcast,14.5,49,11.2,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T06:00:00.000000,overcast,15.0,46,11.3,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T07:00:00.000000,overcast,15.8,43,12.1,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T08:00:00.000000,overcast,17.2,39,13.9,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T09:00:00.000000,overcast,18.9,36,16.3,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T10:00:00.000000,overcast,20.2,34,18.4,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T11:00:00.000000,overcast,20.7,36,18.4,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T12:00:00.000000,overcast,20.7,41,17.8,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T13:00:00.000000,overcast,20.6,44,17.0,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T14:00:00.000000,overcast,20.5,45,17.0,0,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T15:00:00.000000,overcast,20.3,45,17.1,1,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T16:00:00.000000,overcast,19.9,45,16.7,1,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T17:00:00.000000,overcast,19.3,44,15.7,2,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T18:00:00.000000,overcast,18.6,43,15.3,3,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T19:00:00.000000,overcast,17.7,44,15.0,3,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T20:00:00.000000,overcast,16.6,48,14.6,3,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T21:00:00.000000,overcast,15.3,54,13.2,4,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T22:00:00.000000,overcast,14.4,59,11.8,4,Overcast,0.0,none
36.8340,-2.4637,2026-03-26T23:00:00.000000,partly_sunny,13.9,61,11.2,5,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-27T00:00:00.000000,partly_sunny,13.6,62,11.2,5,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-27T01:00:00.000000,partly_sunny,13.4,62,11.1,5,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-27T02:00:00.000000,sunny,13.2,62,10.7,5,Sunny,0.0,none
36.8340,-2.4637,2026-03-27T03:00:00.000000,sunny,12.9,61,10.3,5,Sunny,0.0,none
36.8340,-2.4637,2026-03-27T04:00:00.000000,sunny,12.7,60,9.9,5,Sunny,0.0,none
36.8340,-2.4637,2026-03-27T05:00:00.000000,sunny,12.2,61,9.2,6,Sunny,0.0,none
36.8340,-2.4637,2026-03-27T06:00:00.000000,sunny,11.7,62,8.7,8,Sunny,0.0,none
36.8340,-2.4637,2026-03-27T07:00:00.000000,sunny,11.3,64,8.1,10,Sunny,0.0,none
36.8340,-2.4637,2026-03-27T08:00:00.000000,sunny,12.2,65,8.5,11,Sunny,0.0,none
36.8340,-2.4637,2026-03-27T09:00:00.000000,sunny,13.2,58,9.3,11,Sunny,0.0,none
36.8340,-2.4637,2026-03-27T10:00:00.000000,sunny,14.3,53,10.1,11,Sunny,0.0,none
36.8340,-2.4637,2026-03-27T11:00:00.000000,sunny,15.3,49,11.1,10,Sunny,0.0,none
36.8340,-2.4637,2026-03-27T12:00:00.000000,sunny,16.4,47,12.6,10,Sunny,0.0,none
36.8340,-2.4637,2026-03-27T13:00:00.000000,sunny,17.2,46,13.6,10,Sunny,0.0,none
36.8340,-2.4637,2026-03-27T14:00:00.000000,partly_sunny,17.5,47,14.0,10,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-27T15:00:00.000000,partly_sunny,17.6,49,14.1,9,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-27T16:00:00.000000,partly_sunny,17.4,51,13.7,9,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-27T17:00:00.000000,partly_sunny,16.7,54,12.9,9,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-27T18:00:00.000000,partly_sunny,15.8,57,12.6,8,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-27T19:00:00.000000,partly_sunny,14.8,61,12.2,8,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-27T20:00:00.000000,sunny,13.8,66,11.6,7,Sunny,0.0,none
36.8340,-2.4637,2026-03-27T21:00:00.000000,sunny,12.7,70,10.6,7,Sunny,0.0,none
36.8340,-2.4637,2026-03-27T22:00:00.000000,sunny,11.9,73,9.9,6,Sunny,0.0,none
36.8340,-2.4637,2026-03-27T23:00:00.000000,sunny,11.5,72,9.3,6,Sunny,0.0,none
36.8340,-2.4637,2026-03-28T00:00:00.000000,sunny,11.2,69,8.9,5,Sunny,0.0,none
36.8340,-2.4637,2026-03-28T01:00:00.000000,sunny,11.1,66,8.5,5,Sunny,0.0,none
36.8340,-2.4637,2026-03-28T02:00:00.000000,partly_sunny,11.1,62,8.2,5,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-28T03:00:00.000000,partly_sunny,11.2,57,8.1,5,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-28T04:00:00.000000,partly_sunny,11.3,53,7.9,4,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-28T05:00:00.000000,sunny,11.0,49,7.3,4,Sunny,0.0,none
36.8340,-2.4637,2026-03-28T06:00:00.000000,sunny,10.7,45,6.8,4,Sunny,0.0,none
36.8340,-2.4637,2026-03-28T07:00:00.000000,sunny,10.9,42,7.1,4,Sunny,0.0,none
36.8340,-2.4637,2026-03-28T08:00:00.000000,sunny,12.3,39,8.9,4,Sunny,0.0,none
36.8340,-2.4637,2026-03-28T09:00:00.000000,sunny,14.2,37,11.4,4,Sunny,0.0,none
36.8340,-2.4637,2026-03-28T10:00:00.000000,sunny,15.9,36,13.1,4,Sunny,0.0,none
36.8340,-2.4637,2026-03-28T11:00:00.000000,sunny,17.1,37,14.5,3,Sunny,0.0,none
36.8340,-2.4637,2026-03-28T12:00:00.000000,sunny,17.9,38,15.9,3,Sunny,0.0,none
36.8340,-2.4637,2026-03-28T13:00:00.000000,sunny,18.4,40,16.9,3,Sunny,0.0,none
36.8340,-2.4637,2026-03-28T14:00:00.000000,sunny,18.5,42,17.2,3,Sunny,0.0,none
36.8340,-2.4637,2026-03-28T15:00:00.000000,sunny,18.2,43,16.8,2,Sunny,0.0,none
36.8340,-2.4637,2026-03-28T16:00:00.000000,sunny,17.8,45,15.9,2,Sunny,0.0,none
36.8340,-2.4637,2026-03-28T17:00:00.000000,partly_sunny,17.1,47,14.7,2,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-28T18:00:00.000000,partly_sunny,16.2,49,14.0,2,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-28T19:00:00.000000,partly_sunny,15.4,52,13.5,1,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-28T20:00:00.000000,partly_sunny,14.5,58,13.2,1,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-28T21:00:00.000000,partly_sunny,13.7,64,12.3,1,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-28T22:00:00.000000,partly_sunny,13.1,68,11.5,0,Partly sunny,0.0,none
36.8340,-2.4637,2026-03-28T23:00:00.000000,partly_sunny,12.8,67,10.9,0,Partly sunny,0.0,none
